is_canceled,hotel,arrival_date_month,lead_time,adr,market_segment,customer_type,deposit_type,total_of_special_requests,booking_changes,arrival_month_num,days_in_waiting_list,is_repeated_guest,required_car_parking_spaces,previous_cancellations
0,Resort Hotel,August,72,133.0,Offline TA/TO,Transient,No Deposit,2,0,8,0,0,0,0
1,Resort Hotel,August,57,133.0,Offline TA/TO,Transient,No Deposit,1,0,8,0,0,0,0
1,Resort Hotel,August,164,110.7,Offline TA/TO,Transient-Party,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,September,1,117.9,Online TA,Transient,No Deposit,0,0,9,0,0,0,0
1,Resort Hotel,September,75,84.71,Online TA,Transient,No Deposit,2,0,9,0,0,0,0
1,Resort Hotel,September,21,75.65,Corporate,Transient,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,October,45,47.0,Online TA,Transient,No Deposit,2,0,10,0,0,0,0
0,Resort Hotel,October,1,90.0,Direct,Transient,No Deposit,0,0,10,0,0,0,0
0,Resort Hotel,October,40,113.33,Offline TA/TO,Contract,No Deposit,1,0,10,0,0,0,0
0,Resort Hotel,November,10,71.33,Online TA,Transient,No Deposit,0,1,11,0,0,0,0
0,Resort Hotel,November,28,0.0,Online TA,Transient,No Deposit,1,0,11,0,0,0,0
1,Resort Hotel,December,0,75.0,Online TA,Transient,Non Refund,0,0,12,0,0,0,0
0,Resort Hotel,December,90,125.51,Direct,Transient,No Deposit,0,0,12,0,0,1,0
1,Resort Hotel,February,46,30.0,Direct,Transient-Party,No Deposit,1,0,2,0,0,0,0
1,Resort Hotel,February,42,48.0,Online TA,Transient,No Deposit,1,0,2,0,0,0,0
1,Resort Hotel,March,219,52.0,Offline TA/TO,Transient,Non Refund,0,0,3,0,0,0,0
1,Resort Hotel,March,30,55.0,Offline TA/TO,Transient,No Deposit,0,0,3,0,0,0,0
1,Resort Hotel,March,64,66.6,Online TA,Transient,No Deposit,1,0,3,0,0,0,0
1,Resort Hotel,March,66,80.16,Offline TA/TO,Transient,No Deposit,2,0,3,0,0,0,0
0,Resort Hotel,April,222,41.33,Offline TA/TO,Transient,No Deposit,2,2,4,0,0,0,0
0,Resort Hotel,May,354,37.56,Offline TA/TO,Transient,No Deposit,0,0,5,0,0,0,0
0,Resort Hotel,May,179,79.2,Online TA,Transient,No Deposit,1,0,5,0,0,0,0
1,Resort Hotel,June,107,80.0,Online TA,Transient,No Deposit,0,0,6,0,0,0,0
1,Resort Hotel,June,166,72.0,Online TA,Transient,No Deposit,0,0,6,0,0,0,0
1,Resort Hotel,June,203,67.5,Online TA,Transient,No Deposit,0,0,6,0,0,0,0
0,Resort Hotel,June,290,120.16,Direct,Transient,No Deposit,0,1,6,0,0,0,0
1,Resort Hotel,August,85,263.0,Online TA,Transient,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,August,8,171.0,Online TA,Transient,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,October,186,139.3,Offline TA/TO,Transient,No Deposit,0,0,10,0,0,0,0
0,Resort Hotel,October,364,86.0,Groups,Transient-Party,No Deposit,0,2,10,0,0,0,0
1,Resort Hotel,October,70,59.0,Offline TA/TO,Transient,No Deposit,0,0,10,0,0,0,0
1,Resort Hotel,December,14,84.0,Groups,Transient-Party,No Deposit,0,0,12,0,0,0,0
1,Resort Hotel,December,82,86.4,Offline TA/TO,Transient,No Deposit,0,0,12,0,0,0,0
1,Resort Hotel,January,54,87.0,Online TA,Transient,No Deposit,0,0,1,0,0,0,0
1,Resort Hotel,February,33,68.0,Online TA,Transient,No Deposit,0,0,2,0,0,0,0
1,Resort Hotel,February,22,46.0,Groups,Transient-Party,No Deposit,0,0,2,0,0,0,0
1,Resort Hotel,March,309,84.6,Online TA,Transient,No Deposit,0,0,3,0,0,0,0
1,Resort Hotel,March,216,30.24,Online TA,Transient,No Deposit,0,0,3,0,0,0,0
1,Resort Hotel,April,26,115.0,Online TA,Transient,No Deposit,1,0,4,0,0,0,0
1,Resort Hotel,May,7,85.0,Online TA,Transient,No Deposit,1,0,5,0,0,0,0
1,Resort Hotel,May,54,165.0,Online TA,Transient,No Deposit,0,0,5,0,0,0,0
1,Resort Hotel,May,27,69.0,Corporate,Transient,No Deposit,0,0,5,0,0,0,0
1,Resort Hotel,June,41,187.0,Online TA,Transient,No Deposit,0,0,6,0,0,0,0
1,Resort Hotel,June,40,167.0,Online TA,Transient,No Deposit,2,6,6,0,0,0,0
1,Resort Hotel,June,52,183.43,Online TA,Transient,No Deposit,1,0,6,0,0,0,0
1,Resort Hotel,July,110,200.0,Online TA,Transient,No Deposit,1,1,7,0,0,0,0
1,Resort Hotel,July,190,146.98,Online TA,Transient,No Deposit,1,0,7,0,0,0,0
1,Resort Hotel,July,190,302.0,Online TA,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,July,55,260.0,Direct,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,July,176,303.0,Online TA,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,July,192,153.75,Online TA,Transient,No Deposit,1,0,7,0,0,0,0
1,Resort Hotel,July,28,315.0,Online TA,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,July,175,198.0,Online TA,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,August,43,213.33,Online TA,Transient,No Deposit,1,0,8,0,0,0,0
1,Resort Hotel,August,244,246.8,Online TA,Transient,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,August,212,153.75,Online TA,Transient-Party,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,August,259,153.75,Online TA,Transient,No Deposit,1,0,8,0,0,0,0
1,Resort Hotel,August,198,151.0,Online TA,Transient,No Deposit,1,0,8,0,0,0,0
1,Resort Hotel,August,24,202.0,Direct,Transient-Party,No Deposit,4,0,8,0,0,0,0
0,Resort Hotel,October,4,40.0,Corporate,Transient,No Deposit,2,1,10,0,0,1,2
0,Resort Hotel,February,0,39.0,Direct,Transient,No Deposit,0,0,2,0,0,0,0
0,Resort Hotel,October,0,39.0,Online TA,Transient,No Deposit,0,0,10,0,0,0,0
0,Resort Hotel,January,1,35.0,Corporate,Transient-Party,No Deposit,0,1,1,0,1,0,0
1,Resort Hotel,May,22,59.0,Corporate,Transient,No Deposit,1,0,5,0,1,0,1
0,Resort Hotel,July,19,101.0,Direct,Transient,No Deposit,0,0,7,0,1,1,0
0,Resort Hotel,July,241,112.63,Offline TA/TO,Contract,No Deposit,0,0,7,0,0,0,0
0,Resort Hotel,July,44,118.99,Online TA,Transient,No Deposit,0,1,7,0,0,0,0
0,Resort Hotel,August,10,219.9,Direct,Transient,No Deposit,0,1,8,0,0,0,0
0,Resort Hotel,August,60,164.0,Online TA,Transient,No Deposit,0,0,8,0,0,0,0
0,Resort Hotel,May,9,99.0,Groups,Transient-Party,Refundable,1,1,5,0,1,0,0
0,Resort Hotel,August,352,67.58,Offline TA/TO,Contract,No Deposit,0,1,8,0,0,0,0
0,Resort Hotel,September,4,189.0,Direct,Transient,No Deposit,1,2,9,0,0,0,0
0,Resort Hotel,September,178,61.65,Offline TA/TO,Transient,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,September,78,92.1,Online TA,Transient,No Deposit,0,0,9,0,0,1,0
0,Resort Hotel,September,253,89.55,Offline TA/TO,Transient,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,September,99,121.0,Online TA,Transient,No Deposit,0,1,9,0,0,0,0
0,Resort Hotel,October,17,53.0,Corporate,Transient,No Deposit,0,0,10,0,0,1,0
0,Resort Hotel,October,287,0.0,Groups,Transient-Party,No Deposit,0,2,10,0,0,0,0
0,Resort Hotel,December,0,43.0,Direct,Transient,No Deposit,0,1,12,0,1,0,0
0,Resort Hotel,December,5,48.0,Online TA,Transient-Party,No Deposit,2,2,12,0,0,0,0
0,Resort Hotel,December,0,25.0,Corporate,Transient,No Deposit,0,0,12,0,0,0,0
0,Resort Hotel,December,0,40.0,Corporate,Transient-Party,No Deposit,0,0,12,0,0,0,0
0,Resort Hotel,January,1,25.0,Offline TA/TO,Transient,No Deposit,1,0,1,0,0,0,0
0,Resort Hotel,January,4,25.0,Offline TA/TO,Transient,No Deposit,0,0,1,0,0,0,0
0,Resort Hotel,January,42,79.0,Direct,Transient,No Deposit,1,0,1,0,0,0,0
0,Resort Hotel,February,0,58.0,Direct,Transient,No Deposit,2,0,2,0,0,1,0
0,Resort Hotel,February,0,49.5,Direct,Transient,No Deposit,0,0,2,0,0,0,0
0,Resort Hotel,February,7,37.0,Groups,Transient-Party,No Deposit,0,0,2,0,0,0,0
0,Resort Hotel,February,7,29.0,Offline TA/TO,Transient,No Deposit,0,0,2,0,0,0,0
0,Resort Hotel,February,43,46.4,Online TA,Transient,No Deposit,0,0,2,0,0,0,0
0,Resort Hotel,February,18,27.0,Offline TA/TO,Transient,No Deposit,0,0,2,0,0,0,0
0,Resort Hotel,February,1,60.0,Direct,Transient,No Deposit,0,0,2,0,0,0,0
0,Resort Hotel,February,0,0.0,Online TA,Transient,No Deposit,1,0,2,0,1,0,0
0,Resort Hotel,March,2,0.0,Corporate,Transient,No Deposit,0,0,3,0,0,0,0
0,Resort Hotel,June,3,79.0,Corporate,Transient,No Deposit,0,0,6,0,1,0,0
0,Resort Hotel,March,0,58.0,Online TA,Transient,No Deposit,2,0,3,0,0,0,0
0,Resort Hotel,March,109,27.5,Offline TA/TO,Transient,No Deposit,1,0,3,0,0,0,0
0,Resort Hotel,March,2,85.0,Direct,Transient,No Deposit,0,0,3,0,0,0,0
0,Resort Hotel,March,0,95.5,Online TA,Transient,No Deposit,0,0,3,0,0,0,0
0,Resort Hotel,March,6,46.0,Offline TA/TO,Transient,No Deposit,0,0,3,0,0,0,0
0,Resort Hotel,March,70,45.0,Offline TA/TO,Transient,No Deposit,0,0,3,0,0,0,0
0,Resort Hotel,March,13,78.8,Online TA,Transient,No Deposit,1,0,3,0,0,0,0
0,Resort Hotel,April,24,105.6,Online TA,Transient,No Deposit,2,0,4,0,0,0,0
0,Resort Hotel,April,19,73.0,Online TA,Transient,No Deposit,1,0,4,0,0,1,0
0,Resort Hotel,April,34,60.3,Offline TA/TO,Transient,No Deposit,0,0,4,0,0,0,0
0,Resort Hotel,April,121,83.25,Offline TA/TO,Transient,No Deposit,0,0,4,0,0,0,0
0,Resort Hotel,April,87,47.9,Groups,Transient-Party,No Deposit,0,0,4,0,0,0,0
0,Resort Hotel,April,24,85.0,Online TA,Transient,No Deposit,2,0,4,0,0,0,0
0,Resort Hotel,February,4,54.0,Direct,Transient,No Deposit,1,0,2,0,1,0,0
0,Resort Hotel,April,31,75.0,Online TA,Transient,No Deposit,1,0,4,0,0,0,0
0,Resort Hotel,April,5,51.0,Corporate,Transient,No Deposit,0,1,4,0,0,1,0
0,Resort Hotel,April,33,37.1,Offline TA/TO,Transient,No Deposit,0,0,4,0,0,0,0
0,Resort Hotel,April,104,99.22,Direct,Transient,No Deposit,1,0,4,0,0,1,0
0,Resort Hotel,May,32,102.0,Online TA,Transient-Party,No Deposit,1,0,5,0,0,1,0
0,Resort Hotel,May,159,52.2,Online TA,Transient,No Deposit,2,0,5,0,0,0,0
0,Resort Hotel,May,0,80.0,Offline TA/TO,Transient,No Deposit,0,0,5,0,0,1,0
0,Resort Hotel,May,47,58.0,Online TA,Transient,No Deposit,0,0,5,0,0,0,0
0,Resort Hotel,May,2,85.0,Corporate,Transient-Party,No Deposit,2,0,5,0,0,0,0
0,Resort Hotel,May,47,106.33,Online TA,Transient-Party,No Deposit,1,0,5,0,0,1,0
0,Resort Hotel,May,17,169.0,Direct,Transient,No Deposit,1,0,5,0,0,0,0
0,Resort Hotel,October,97,85.0,Offline TA/TO,Group,No Deposit,1,0,10,0,1,0,0
0,Resort Hotel,June,231,113.1,Online TA,Transient,No Deposit,1,1,6,0,0,1,0
0,Resort Hotel,June,0,173.0,Direct,Transient,No Deposit,0,0,6,0,0,1,0
0,Resort Hotel,June,3,98.4,Online TA,Transient,No Deposit,0,0,6,0,0,1,0
0,Resort Hotel,July,171,96.94,Online TA,Transient,No Deposit,3,1,7,0,0,0,0
0,Resort Hotel,July,30,146.3,Online TA,Transient,No Deposit,0,0,7,0,0,0,0
0,Resort Hotel,October,5,42.0,Corporate,Transient,No Deposit,1,0,10,0,1,0,0
0,Resort Hotel,July,0,161.0,Direct,Transient,No Deposit,0,0,7,0,0,0,0
0,Resort Hotel,July,36,205.5,Direct,Transient,No Deposit,0,0,7,0,0,0,0
0,Resort Hotel,August,32,199.1,Direct,Transient,No Deposit,0,2,8,0,0,0,0
0,Resort Hotel,August,49,195.67,Online TA,Transient,No Deposit,1,0,8,0,0,0,0
0,Resort Hotel,August,14,199.0,Online TA,Transient-Party,No Deposit,1,0,8,0,0,0,0
0,Resort Hotel,August,107,202.67,Online TA,Transient-Party,No Deposit,1,0,8,0,0,0,0
0,Resort Hotel,August,221,89.2,Offline TA/TO,Contract,No Deposit,0,0,8,0,0,0,0
0,Resort Hotel,September,190,87.68,Offline TA/TO,Transient,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,August,218,90.0,Offline TA/TO,Transient,No Deposit,0,0,8,0,0,0,0
0,Resort Hotel,September,29,198.0,Online TA,Transient,No Deposit,0,1,9,0,0,1,0
0,Resort Hotel,September,327,82.19,Groups,Transient-Party,No Deposit,0,2,9,0,0,0,0
0,Resort Hotel,September,9,96.0,Groups,Transient-Party,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,October,0,116.0,Online TA,Transient-Party,No Deposit,1,0,10,0,0,1,0
0,Resort Hotel,September,152,82.0,Groups,Transient-Party,No Deposit,1,0,9,0,0,0,0
0,Resort Hotel,October,8,56.0,Groups,Transient-Party,No Deposit,0,1,10,0,0,1,0
0,Resort Hotel,October,1,45.0,Corporate,Transient,No Deposit,0,0,10,0,0,0,0
0,Resort Hotel,October,173,46.0,Offline TA/TO,Transient,No Deposit,0,0,10,0,0,0,0
0,Resort Hotel,July,14,98.0,Online TA,Transient,No Deposit,1,0,7,0,0,0,0
0,Resort Hotel,July,1,147.0,Online TA,Transient,No Deposit,0,0,7,0,0,1,0
1,Resort Hotel,July,17,151.33,Online TA,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,July,44,135.0,Online TA,Transient,No Deposit,1,0,7,0,0,0,0
0,Resort Hotel,July,96,166.0,Online TA,Transient,No Deposit,2,0,7,0,0,1,0
1,Resort Hotel,August,24,233.0,Online TA,Transient,No Deposit,1,1,8,0,0,0,0
0,Resort Hotel,August,2,242.5,Online TA,Transient,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,August,46,120.6,Online TA,Transient,No Deposit,1,0,8,0,0,0,0
0,Resort Hotel,September,27,101.03,Offline TA/TO,Contract,No Deposit,0,0,9,0,0,0,0
